NO_OF_FRAMES	775
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:00:59.078	683793.93011830
DATA_INCLUDED	3D
MARKER_NAMES	h23_3g
TRAJECTORY_TYPES	Measured
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
1199	2.39600	320.793	283.996	195.022
1200	2.39800	320.724	282.814	195.059
1201	2.40000	320.679	281.652	195.051
1202	2.40200	320.598	280.465	195.012
1203	2.40400	320.524	279.288	195.011
1204	2.40600	320.463	278.121	195.023
1205	2.40800	320.397	276.950	194.984
1206	2.41000	320.316	275.783	194.998
1207	2.41200	320.249	274.616	195.013
1208	2.41400	320.170	273.442	195.044
1209	2.41600	320.090	272.272	195.010
1210	2.41800	320.012	271.105	195.028
1211	2.42000	319.903	269.944	195.004
1212	2.42200	319.792	268.733	194.968
1213	2.42400	319.705	267.564	194.939
1214	2.42600	319.639	266.405	194.949
1215	2.42800	319.580	265.213	194.942
1216	2.43000	319.514	264.034	194.907
1217	2.43200	319.461	262.869	194.936
1218	2.43400	319.394	261.685	194.919
1219	2.43600	319.334	260.484	194.907
1220	2.43800	319.289	259.317	194.914
1221	2.44000	319.236	258.139	194.886
1222	2.44200	319.176	256.955	194.875
1223	2.44400	319.111	255.798	194.896
1224	2.44600	319.050	254.624	194.899
1225	2.44800	318.986	253.440	194.890
1226	2.45000	318.925	252.269	194.921
1227	2.45200	318.875	251.110	194.922
1228	2.45400	318.783	249.927	194.916
1229	2.45600	318.661	248.754	194.921
1230	2.45800	318.574	247.570	194.893
1231	2.46000	318.489	246.388	194.892
1232	2.46200	318.423	245.206	194.894
1233	2.46400	318.349	244.034	194.908
1234	2.46600	318.283	242.842	194.876
1235	2.46800	318.214	241.663	194.908
1236	2.47000	318.169	240.480	194.890
1237	2.47200	318.095	239.288	194.862
1238	2.47400	318.019	238.113	194.925
1239	2.47600	317.958	236.933	194.937
1240	2.47800	317.892	235.744	194.939
1241	2.48000	317.839	234.582	194.975
1242	2.48200	317.794	233.416	194.961
1243	2.48400	317.736	232.228	194.966
1244	2.48600	317.684	231.071	194.965
1245	2.48800	317.646	229.914	194.965
1246	2.49000	317.581	228.731	194.933
1247	2.49200	317.528	227.576	194.936
1248	2.49400	317.469	226.395	194.934
1249	2.49600	317.334	225.204	194.891
1250	2.49800	317.278	224.035	194.927
1251	2.50000	317.219	222.862	194.913
1252	2.50200	317.149	221.664	194.893
1253	2.50400	317.083	220.494	194.908
1254	2.50600	317.012	219.310	194.861
1255	2.50800	316.953	218.113	194.846
1256	2.51000	316.901	216.950	194.850
1257	2.51200	316.835	215.756	194.865
1258	2.51400	316.783	214.575	194.850
1259	2.51600	316.745	213.413	194.858
1260	2.51800	316.671	212.234	194.846
1261	2.52000	316.628	211.072	194.856
1262	2.52200	316.597	209.892	194.847
1263	2.52400	316.537	208.713	194.839
1264	2.52600	316.485	207.559	194.838
1265	2.52800	316.440	206.396	194.828
1266	2.53000	316.367	205.218	194.824
1267	2.53200	316.330	204.048	194.832
1268	2.53400	316.263	202.880	194.841
1269	2.53600	316.212	201.693	194.830
1270	2.53800	316.114	200.525	194.840
1271	2.54000	316.004	199.330	194.819
1272	2.54200	315.917	198.145	194.812
1273	2.54400	315.844	196.968	194.817
1274	2.54600	315.779	195.773	194.802
1275	2.54800	315.707	194.607	194.820
1276	2.55000	315.642	193.438	194.814
1277	2.55200	315.554	192.245	194.803
1278	2.55400	315.474	191.080	194.826
1279	2.55600	315.415	189.887	194.819
1280	2.55800	315.336	188.710	194.807
1281	2.56000	315.253	187.556	194.847
1282	2.56200	315.165	186.387	194.823
1283	2.56400	315.113	185.191	194.863
1284	2.56600	315.039	184.041	194.863
1285	2.56800	314.987	182.849	194.864
1286	2.57000	314.914	181.683	194.872
1287	2.57200	314.877	180.511	194.827
1288	2.57400	314.799	179.329	194.841
1289	2.57600	314.681	178.155	194.839
1290	2.57800	314.603	176.963	194.820
1291	2.58000	314.526	175.804	194.816
1292	2.58200	314.455	174.624	194.836
1293	2.58400	314.397	173.438	194.805
1294	2.58600	314.348	172.286	194.790
1295	2.58800	314.275	171.104	194.788
1296	2.59000	314.188	169.929	194.772
1297	2.59200	314.124	168.769	194.751
1298	2.59400	314.067	167.578	194.741
1299	2.59600	314.022	166.428	194.735
1300	2.59800	313.972	165.247	194.740
1301	2.60000	313.906	164.073	194.730
